text,filename,stopwords,punctuation,numerics,upper
number method algebraic iterative develop recently fit concentric circle previous study focus firstorder analysis performance evaluation appropriate observation noise small bias insignificant compare variance study indicate firstorder analysis appear sufficient explain predict performance estimator fit problem especially noise level become significant paper extend previous study perform secondorder analysis evaluate estimation bias several concentric circle estimator secondorder analysis expose important characteristic estimator cannot see firstorder study insight gain theoretical study lead development new estimator unbiased performs best among algebraic solution adjust maximum likelihood estimator also propose yield unbiased estimate maintain kcr bound performance,014.txt,63,16,0,2
allocate memory dynamically virtual machine vms accord demand provide significant benefit well great challenge efficient memory resource management require knowledge memory demand application system runtime widely propose approach construct miss ratio curve mrc vm summarize current work set size w vm also model relationship performance target memory allocation size unfortunately cost monitoring maintain mrc structure nontrivial article first introduce lowcost w track system effective optimization data structure well efficient mechanism decrease frequency monitoring also propose memory balancer meb dynamically reallocate guest memory base predict wss experimental result show prediction scheme yield high accuracy low overhead furthermore overall system throughput significantly improve meb brings speedup two four vms overcommitted system vms,028.txt,65,28,1,10
compare result modify version asthma control test use parent proxy report ppact result report child parent use validated childhoodasthma control test cact parentchild dyad child age year asthma randomize complete ppact follow cact cact follow ppact score indicate uncontrolled asthma calculate sensitivity specificity positive predictive value negative predictive value ppact comparison cact calculate concordance scale ppact sensitivity negative predictive value detect uncontrolled asthma survey concordant kappa moderate agreement result suggest ppact miss child uncontrolled asthma may simplify report asthma control circumstance child report feasible create barrier survey receipt limitation proxy reporting consider,160.txt,50,38,5,10
background physical activity pa may play role preserve kidney health purpose study determine pa sedentary behavior associate incident chronic kidney disease ckd change kidney function old adult method health age body composition study prospective cohort wellfunctioning old adult pa television watching measure selfreport serum cystatin c use estimate glomerular filtration rate egfr ckd define egfrmlminm discrete survival analysis use determine baseline pa television watching related year cumulative incidence ckd rapid decline kidney function result individual report watch television hoursday high risk incident ckd hr ci experience rapid decline kidney function hr ci compare individual watch television hoursday pa relate either outcome conclusion high level television watching associate decline kidney function mechanism underlie association need study,174.txt,54,53,1,14
monitor measure structural behavior advance recently many researcher study structural health monitoring use gnss global navigation satellite system paper present temperature behavior gwangan bridge three span suspension bridge korea behavior middle span analyze ambient temperature change time pass january june vertical displacement decreased temperature increase middle span correlation analysis perform temperature vertical displacement use thermometer gnss also monthly change temperature natural frequency measure correlation analysis perform temperature natural frequency result evaluation regard thermal effect middle span relationship temperature natural frequency seem trend inverse proportion,148.txt,60,15,0,2
structural eurocodes give status national standard since conflict national standard previously use member state european union withdrawn eurocode also adopt design longspan suspension bridge however traffic load model eurocode en valid bridge span less traffic load model load length great may define national annex projectspecific basis paper discuss traffic load longspan bridge define bs aashto lrfd sweden tk bro great belt east bridge design basis superstructure design honshushikoku bridge japan highway bridge design code china together code adopt design longspan suspension bridge article propose traffic load model longspan suspension bridge framework eurocode load model multiple lane factor impact factor also take account recommend traffic load model utilized design suspension bridge main span accord design load partial factor resistance partial factor main cable margin safety main cable calculate result indicate recommended traffic load model longspan suspension bridge reasonable,149.txt,81,32,5,6
educational context undergone several change mainly driven contemporary lifestyle fast progress field compute information communication technology ict increasingly present important daily life therefore incorporation technology education become frequent enable number innovative exciting experience achievement learn various field knowledge within scenario distance learn dl highlight type education thrives technological advance sharp integration human computer computer system distance learning broaden horizon mainly adult education within undergraduate graduate professionalization area example professional intense work journey face difficulty join continue education facility offer distance learn flexible working hour place study represent solution health area initiative grow considerably due advantage brazil government focus distance learning offer continue medical education professional within public health care network open university brazilian national health system unasus work partnership public university several state maranhao support federal university state ufma unasus develop various mechanism educational tool facilitate learn distance learning among possible highlight educational electronic game create institution provide realistic interactive study experience seek integrate specific play activity make learn dynamic creative fun game develop able provide motivate attractive atmosphere teach simulate practical situation encourage development strategy solution decisionmaking therefore contribute construction concept psychomotor function stimulation game develop unasusufma match storytelling genre follow comic book format use player interaction complete story paper aim expose game production process develop unasusufma address issue related area nephrology subject one course offer institution object question develop use unityd graphic engine allow quick easy implementation multiplatform game also facilitate creation interface gameplay mechanisms animation thus reduce time require development also list advantage use game question address nephrology well potential weakness production use learn object creation learn object one present work contributes significantly development distance learn therefore cooperate democratization expansion knowledge,175.txt,162,63,0,7
aim aim study clarify rate remission progression microalbuminuria patient type diabetes tdm factor associate remission progression diabetic nephropathy dn patient method tdm patient urinary albumin excretion uae rate mggcr attend medical clinic tsugaru region japan enrol prospective observational study month n investigate rate remission uae mggcr overt proteinuria month study registration result number patient whose uae level mggcr dn progression month registration multiple logistic regression analysis sole factor contribute remission month registration uae level registration ci p factor contribute progression month registration level uae ci p systolic blood pressure ci p registration conclusion result suggest patient less severe microalbuminuria among microalbuminuric patient might commonly experience dn remission earlier intervention important promote microalbuminuria remission dn,161.txt,63,77,9,18
untargeted metabolomic study generate informationrich highdimensional complex datasets remain challenging handle fully exploit despite remarkable progress development tool algorithms exhaustive extraction information metabolomic datasets still nontrivial undertake conversation data mining strategy maximal information extraction metabolomic data need use liquid chromatographymass spectrometry lcmsbased untargeted metabolomic dataset study explore influence collection parameter data preprocessing step scale data transformation statistical model generate feature selection thereafter data obtain positive mode generate lcmsbased untargeted metabolomic study sorghum plant respond dynamically infection fungal pathogen use raw data preprocessed markerlynx tm software water corporation manchester uk two parameter vary intensity threshold count mass tolerance da preprocessing datasets import simca umetrics umea sweden data clean statistical model addition different scale unit variance pareto etc data transformation log power method explore result show preprocessing parameter algorithms influence output dataset regard number define feature furthermore study demonstrate pretreatment data prior statistical modeling affect subspace approximation outcome eg amount variation xdata model explain predict preprocessing pretreatment step subsequently influence number statistically significant extractedselected feature variable thus inform result maximize value untargeted metabolomic data understand data structure exploration different algorithms method different step data analysis pipeline might best tradeoff currently possibly epistemological imperative,029.txt,93,89,0,4
purpose study verify smoothness reach movement able quantitatively evaluate effect twoand threedimensional image movement healthy people addition clinical data cerebrovascular accident patient also analyze method subject ten healthy adult volunteer two male patient previous cerebrovascular accident participate method subject task reach object show display target virtual limb render computer graphic show display movement virtual limb synchronize subject healthy subject reach target dominant arm cerebrovascular accident patient use paretic arm polarize display polarize glass use subject show threedimensional image present study jerk cost use quantify smoothness movement result six healthy subject significantly smoother reach movement view threedimensional image two cerebrovascular accident patient tend smooth movement response threedimensional image conclusion analysis smoothness movement able detect influence depth cue vision movement quantitatively healthy subject cerebrovascular accident patient,001.txt,71,32,1,1
robust efficient object track algorithm require variety computer vision application although various modern tracker impressive performance challenge occlusion target scale variation still intractable especially complex scenario paper propose robust scale adaptive track algorithm predict target scale sequential monte carlo method determine target location correlation filter simultaneously analyze response map target region completeness target measure peaktosidelobe rate psr ie lower psr likely target occlude strict template update strategy design accommodate appearance change avoid template corruption occlusion occur retained scheme allow tracker refrain drift away additionally feature integration incorporate guarantee robustness propose approach experimental result show method outperforms stateoftheart tracker term distance precision overlap precision publicly available tb dataset,015.txt,64,26,0,5
background primary congenital glaucoma pcg severe ocular disorder present early life cytochrome pb cypb latent transform growth factorbetabinding protein ltbp commonly mutate gene pcg aim investigate causative genetic mutation eight indian family pcg material method wholeexome sequence apply analyze genomic dna sample pcg probands sanger sequence utilized confirm identify mutation result identify four homozygous missense mutation cct prw cgt pgv cct pps cga prh cypb one nonsense mutation cga pwx ltbp eight indian family among five mutation identify gv cypb wx ltbp represent novel mutation conclusion study expand mutational spectrum pcg indian population,203.txt,33,50,1,15
induced mutation use effectively plant improvement physical chemical mutagen induce high frequency genome variation recently develop screen method allow detection single nucleotide polymorphisms snps identification trait difficult identify molecular level conventional breeding assistance reverse genetic technique sequence variation information link trait investigate gene function target induced local lesion genome till highthroughput technique identify single nucleotide mutation specific region gene interest powerful detection method result chemicalinduced mutagenesis main advantage till reverse genetics strategy apply specie regardless genome size ploidy level however till require laborious timeconsuming step lack complete genome sequence information many crop specie slow development suitable till target another method highresolution melt hrm assist till mutation detection faster simpler less expensive nonenzymatic screening system currently sequence crop genome completely change vision interpretation genome organization evolution impressive progress nextgeneration sequence ng technology pave way detection exploitation genetic variation give dna rna molecule review discuss application till combination hrm ng technology screen induced mutation discover snps mutation breeding program,207.txt,88,35,0,12
nonuniform csection phaser introduce powerful approach enhance design flexibility uniform phasers moreover efficient synthesis technique provide design phasers two design example present first example single nonuniform csection phaser second one cascade double nonuniform csection phaser feature large group delay swing bandwidth hence high resolution radio analog signal processing rasp,039.txt,18,16,0,2
comprehensive radiometric characterization rawdata format imagery acquire raspberry pi v camera module present raspberry pi highperformance singleboard computer design educate solve realworld problem small computer support camera module use sony imx megapixel cmos sensor paper show scientific engineeringgrade imagery produce raspberry pi v camera module raw imagery show linear exposure gain iso essential scientific engineering application dark frame noise exposure stability assessment along flat fielding result spectral response measurement absolute radiometric calibration result describe lowcost imaging sensor calibrate produce scientific quality data use computer vision biophotonics remote sense astronomy high dynamic range image security application name c author publish spie creative common attribution unported license distribution reproduction work whole part require full attribution original publication include,011.txt,53,36,3,8
novel switch circuitry fully differential millimetrewave application present structure propose switching architecture include nm cmos transistor distributedactivetransformer minimise chip size innovative topology base lumped component investigate result total size mm performance design switch validate within dualmode local oscillatordistribution circuitry vband transceiver,005.txt,18,16,1,2
research address link work stress family stress asthma constrain inconsistent evidence failure consider combine exposure work stress family stress primary focus western study population aim address knowledge gap use crosssectional data collect among woman five professional group five chinese city work stress measure item effortreward imbalance eri questionnaire family stress assess psychometrically evaluate instrument comprise five item eg familial conflict domestic workload asthma operationalized selfreports physician diagnosis association examine multivariable logistic regression estimate odds ratio or confidence interval cis high work stress ie eri score high family stress ie score median associate asthma ci ci respectively woman combine exposure versus none somewhat high odds asthma ci sole exposure either work stress ci family stress ci interaction term significant continuous variable p dichotomize variable p present study suggest work stress family stress positively associate asthma woman china combine exposure may associate excess asthma occurrence longitudinal study need confirm finding explore potential temporal relationship,159.txt,68,98,2,12
objective vascular calcification consequence complex interaction genetic environmental vascular factor ultimately lead deposition calcium tunica intima atherosclerotic calcification tunica medium mdnckenbergs sclerosis vascular calcification also closely related pathology diabetes mellitus dyslipidemia chronic kidney disease conclude degree vascular calcification may vary person person even associate pathology environmental factor therefore suggest important genetic contribution development vascular calcification review aim find recent evidence vascular calcification pathophysiology regard genetic aspect molecular pathway data source conduct exhaustive search scopus ebsco pubmed keywords genetics vascular calcification molecular pathway genetic vascular calcification include main article january august focus recent evidence vascular calcification pathophysiology regard genetic aspect molecular pathway study selection valuable publish original review article related objective select result vascular calcification multifactorial disease thus pathophysiology cannot explain single specific factor rather result association several genetic variant molecular pathway interaction environmental factor promote development conclusion although several molecular aspect mechanism elucidate still need good understand factor predispose disease,165.txt,94,42,1,1
acute kidney injury aki lead chronic kidney disease mechanism involve recovery aki poorly understood molecular mediator responsible heal restoration kidney function understudy previously discover differential expression matrix metalloproteinase mmp mrna protein patient severe sepsis associate aki versus sepsis without aki demonstrate involvement mmp purely ischemic aki mouse subject min bilateral renal ischemia develop increase plasma creatinine mmp expression within h versus sham control initial surge subsequent return toward baseline kidney mmp expression activity exhibit late increase day postischemia reperfusion mouse subject aki neutrophil infiltration kidney significantly high aki wildtype mouse mmp null mouse start day additionally mmp null mouse subject aki demonstrate persistent histopathologic functional injury worsen health great overall weight loss versus wildtype cohort seven day take together findings suggest mmp involve restoration baseline kidney health ischemic kidney injury potential mechanism involve interaction mmp neutrophil recruitment site injury,171.txt,55,35,3,16
climate change extreme heat eh event increase important understand vulnerable heatassociated morbidity determine association eh hospitalization natural cause cardiovascular respiratory renal disease diabetes mellitus acute myocardial infarction michigan usa different intensity duration assess confound ozone individual characteristic health insurance payer proxy income modify association obtain michigan inpatient database national climatic data center u environmental protection agency ozone data mayseptember three michigan county employ casecrossover design model eh indicator temperature th th th percentile threshold day examine effect modification patient age race sex health insurance payer pool county result among nonwhites pool odds ratio hospitalization eh th percentile threshold vs noneh day renal disease ci increase increase eh intensity null among white ci observe null association eh cardiovascular hospitalization eh th percentile threshold associate myocardial infarction hospitalization confound ozone minimal eh associate hospitalization renal disease among nonwhites information vulnerability heatassociated morbidity help characterize public health burden eh target intervention include patient education,170.txt,65,70,2,14
introduction although risk factor lung cancer well document whether previous radiation therapy rt treat breast cancer bc increase incidence second primary lung cancer remain unclear determine overall incidence second primary lung cancer previous rt clinical stage bc method analysis longitudinal health insurance database individual randomly enrol cohort analysis woman newly diagnose invasive bc age year old without type malignancy followup period enrol allocated rt nonrt group age comorbidities insurance premium urbanization level location date event hospital care level analyze hazard ratio parameter calculate cox regression analysis result total individual meet inclusion criterion include patient bc underwent rt lung cancer develop contrast lung cancer diagnose four individual nonrt group followup period cox regression analysis show adjusted hazard ratio time higher rt group nonrt group individual previous bc conclusion incidence second primary lung cancer significantly high rt group nonrt group individual previous bc patient bc treat rt extensively survey ass incidence subsequent lung cancer c international association study lung cancer publish elsevier inc right reserve,164.txt,84,51,9,16
prenatal maternal diet may influence disease susceptibility offspring specific genetic background hypothesize interaction prenatal antioxidant intake polymorphism immunity gene influence respiratory tract infection rti susceptibility infant month age study include infant cohort childhood origin asthma allergic disease cocoa birth cohort study prenatal maternal diet assess administer food frequency questionnaire infant cord blood genotyped cd r tlr r gsdmb r polymorphisms taqman method high prenatal intake total fruit vegetable fv associate decrease risk rti offspring ptrend child tt genotype r high prenatal intake vitamin c fruit total fv decrease rti risk ptrend infant tccc genotype high prenatal intake fruit increase rti risk ptrend analyze genotype child tt genotype r protect rtis compare cc genotype respect vitamin c fruit odds ratio or or respectively child cc genotype r rti risk show doseresponse association high prenatal intake vitamin c p interaction high prenatal intake fruit total fv reduce rti risk infant gaaa genotype r p interaction prenatal antioxidant intake may reduce rti risk infant relationship may modify cd tlr gsdmb polymorphism,158.txt,71,71,3,32
d mesh deploy wide range application process eg transmission compression simplification watermarking inevitably introduce geometric distortion may alter visual quality render data hence efficient modelbased perceptual metric operate geometry mesh compare recently introduce control predict visual artifact however since d model ultimately visualize d screen seem legitimate use image model ie snapshots different viewpoint evaluate visual fidelity work investigate use image metric assess visual quality d model goal conduct wideranging study involve several d metric render algorithms lighting condition pool algorithms well several mean opinion score database collect data allow determine best set parameter use imagebased quality assessment approach compare approach best perform modelbased metric determine usecase respectively adapt conclude explore several application illustrate benefit imagebased quality assessment,004.txt,64,39,0,5
user evaluation gain increase importance visualization research past year many case evaluation way support claim make visualization researcher unfortunately recent literature review show comparison algorithmic performance evaluation number user evaluation still low reason require amount time conduct study together difficulty involve participant recruitment result reporting could show quality evaluation result simplify participant recruitment crowdsourcing platform make technology viable alternative lab experiment evaluate visualization time conduct report evaluation still high paper propose software system integrate conduction analysis reporting crowdsourced user evaluation directly scientific visualization development process propose system researcher conduct analyze quantitative evaluation large scale evaluationcentric user interface mouse click thus become possible perform iterative evaluation algorithm design potentially lead good result compare time consume user evaluation traditionally conducted end design process furthermore system build around centralized database support easy reuse old evaluation design reproduction old evaluation new additional stimulus drive challenge scientific visualization research describe system design consideration make design process demonstrate system conduct three user evaluation publish visualization literature,010.txt,115,27,0,0
neural circuit solve system simultaneous linear equation present circuit employ nonlinear feedback achieve transcendental energy function ensure fast convergence exact solution enjoy reduction hardware complexity exist scheme new build block analog signal processing digitally control differential voltage current conveyor dcdvcc introduce utilized nonlinear synaptic interconnection neuron proof energy function give show gradient network converges exactly solution system equation pspice simulation result present linear system equation various size find close agreement algebraic solution use cmos dcdvccs operational amplifier facilitates monolithic integration,038.txt,47,13,0,5
genetic introgression recently become important concern conservation genetics occur rare related common specie various genetic group individual different origin aim determine whether hybridisation introgression occur emys orbicularis subspecies natural contact zone france ii determine geographic extent contact zone distinct subspecies france iii evaluate level introgression occur finally iv evaluate whether combine mitochondrial nuclear genetic marker reflect contact zone one genetic marker use introgression evaluate genotyping biparentally inherit microsatellites sequence maternally inherit cytochrome b gene french population demonstrate strong introgression subspecies natural condition old contact zone southern eastern france result corroborate introgression reflect past natural event also demonstrate human impact alter pattern finally confirm combination mitochondrial nuclear genetic marker appropriate reveal introgression use one genetic marker,206.txt,63,21,0,0
blepharospasm sometimes call benign essential blepharospasm beb one common focal dystonias involve involuntary eyelid spasm eye closure increase blink despite success botulinum toxin injection case pharmacologic surgical intervention beb treatment completely efficacious symptomatic could develop principled strategy prevent reverse disease know pathogenesis primary beb objective study develop conceptual framework dynamic circuit hypothesis pathogenesis beb framework extend overarch theory multifactorial pathogenesis focal dystonias peterson et al incorporate twohit rodent model specifically beb schicatano et al incorporate framework three feature critical cranial motor control joint influence motor cortical region direct descend projection one basal ganglion output nuclei substantia nigra par reticulata brainstem motor nucleus nest loop compose trigeminal blink reflex arc long sensorimotor loop fromtrigeminal nucleus thalamus somatosensory cortex back basal ganglion brainstem nuclei modulating reflex arc abnormality basal ganglia dopamine system provide sensorimotor learn substrate combine pattern increase blink lead abnormal sensorimotor mapping manifest beb framework explain experimental data trigeminal reflex blink excitability trbe schicatano et al make prediction test new experimental animal model base emerge genetics dystonia include recently characterize striatalspecific dr dopamine transduction alteration cause gnal mutation broadly model provide guide future effort mechanistically link multiple factor pathogenesis beb facilitate simulation exogenous manipulation pathogenic factor could ultimately use prevent reverse disorder,204.txt,99,47,0,10
purpose review outline role srb pdzk hepatic selective hdl cholesterol uptake reverse cholesterol transport consequence atherosclerosis development recent finding much understand physiological role srb pdzk hdl metabolism atherosclerosis come study genetically manipulate mouse show srb pdzk play key role hdl metabolism protection atherosclerosis recent identification rare loss function mutation human scarb gene verifies play similar role hdl metabolism human rare mutation human scarb pdzk gene remain characterized may potentially devastate consequence srb function summary identification carrier rare mutation human scarb pdzk impair function gene product characterization effect mutation hdl cholesterol level atherosclerosis add understanding importance hdl function cholesterol flux oppose hdlcholesterol level per se protection cardiovascular disease,210.txt,66,14,0,18
phaseonly computergenerated holography cgh calculation method stereoscopic holography propose paper twodimensional d perspective projection view threedimensional d object generate computer graphic render technique base view phaseonly hologram calculate use gerchbergsaxton g iterative algorithm compare noniterative algorithm conventional stereoscopic holography propose method improve holographic image quality especially phaseonly hologram encode complex distribution simulation optical experiment result demonstrate propose method give high quality reconstruction compare traditional method,006.txt,31,24,0,5
computer visionbased autonomous fire suppression system realtime feedback fire size spray direction present paper system develop use firefighting robot closerange localize fire suppression task enclose environment probabilistic water classification method develop segment water spray pair ir camera stereo processing perform localize point along spray path use yaw pitch angle estimation golden section search linear least square optimization use determine optimal pitch angle spray position sample time kalman filter use remove noise angle measurement obtain good estimate current nozzle orientation decision tree use determine correct nozzle position mode use image feedback suppress fire account error direction fire size suppression adjust nozzle base ir feedback implementation pi controller system able correct unknown disturbance cause erroneous target localized fire experiment present initial nozzle angle correctly force offset system set initial spray position incorrectly order system correct suppression time range standard deviation average time total test demonstrate performance system give forced offset initial nozzle orientation result error spray location fire target suppression time range mean standard deviation propose system implement robotic firefighting platform autonomously detect fire choose proper manipulation goal suppress full scale fire give disturbance cause erroneous target,012.txt,115,29,1,8
pioneer tumor immunology cancer immunotherapy include late william b coley lloyd j old champion potential immunotherapy century finally advance understanding fundamental tumor immunology translate clinical success recent u food drug administration approval several immunotherapy improve clinical outcome across prostate cancer metastatic melanoma nonsmall cell lung cancer lymphocytic leukemia tandem clinical success new technology highthroughput dnarna sequence genetic engineering streamline ex vivo cell culture paved way next generation immunotherapy provide new tool investigate potential biomarkers response exist therapy november annual meeting society immunotherapy cancer leader tumor immunology cancer immunotherapy convene second annual sitc primer review current knowledge future direction field review key discussion across variety topic include innate immunity adaptive immunity dendritic cell adoptive cell therapy antitumor antibody cancer vaccine immune checkpoint blockade challenge immunotherapy monitoring immune response immunotherapy clinical trial design,199.txt,58,32,1,6
background obesity common medical disorder dog predispose number disease human obesity risk factor development progression chronic kidney disease objective investigate possible association weight loss plasma renal biomarkers kidney health animal thirtyseven obese dog lose weight include study method prospective observational study three novel biomarkers renal functional impairment disease homocysteine cystatin c clusterin addition traditional marker chronic renal failure serum urea creatinine urine specific gravity usg urine proteincreatinine ratio upcr urine albumin correct creatinine uac weight loss dog naturally occur obesity investigate result urea p usg p great weight loss loss whilst upcr uac creatinine less weight loss p p p respectively homocysteine p cystatin c p clusterin p decrease upon weight loss multiple linear regression analysis reveal association percentage weight loss great weight loss lean tissue loss r r p beforeloss plasma clusterin concentration great clusterin lean tissue loss r r p conclusion clinical importance result suggest possible subclinical alteration renal function canine obesity improve weight loss work require determine nature alteration notably reason association loss plasma clusterin subsequent lean tissue loss weight management,172.txt,73,96,0,18
purpose present study aim investigate association hypertension physicalfunctional capacity communitydwelling old femalesmaterials method old female volunteer dichotomize two group hypertensive n normotensive n volunteer medical record review underwent evaluation anthropometric data weight height body mass index physical functional capacitiesresults result show hypertensive old female present high value age weight body mass index rest diastolic blood pressure normotensive old female normotensive old female show high performance oneleg stand test sixminute walk test compare hypertensive old female age body mass index maximal walk speed performance time go sixminute walk test diagnosis diabetes mellitus type ii factor associate hypertension use chisquare test however multivariate regression analysis indicate performance sixminute walk test factor associate hypertensionconclusions patient high score sixminute walk test associate aerobic capacity show less odds clinical diagnosis hypertension however hypertension associate poor physical functional capacity,166.txt,56,42,0,1
aim study investigate first time effect use adiposederived mesenchymal stem cell admscs transfected episomal plasmid encode fibroblast growth factor fgf admscsfgf provide microenvironment require angiogenic proliferation isolate rat admscs positive mesenchymal cd cd negative hematopoietic cd cd surface marker adipogenic osteogenic differentiation admscs also occur proper culture medium presence fgf condition medium admscsfgf confirm western blotting g pcr use selection transfected cell confirmation presence fgf mrna respectively treatment admscfgfconditioned medium significantly increase niht cell proliferation human umbilical vein endothelial cell huvec tube formation compare conditioned medium nontransfected admscs p conclusion admscsfgf efficiently secrete functional fgf promote angiogenic proliferation use admscsfgf may provide useful strategy cell therapy merge beneficial effect stem cell positive biological effect fgf various disorder especially tissue defect neurodegenerative cardiovascular diabetes endocrine pathology remain tested preclinical clinical study,167.txt,63,47,1,13
background erythropoiesisstimulating agent esas commonly use treatment anemia due chronic kidney disease ckd end stage renal disease esrd patient often lack understanding potential risk benefit esas despite government mandate education topic decision aid tool commonly use discuss important information health care setting address knowledge gap design study evaluate effectiveness novel esa decision aid promoting inform share decision make isdm patient provider related esa use ckd esrdrelated anemia method use principle inform shared decision make theory design piloted esa decision aid intend increase ckd esrd patient understand potential risk benefit esas inform finding development esa decision aid modify finalized test perform randomize clinical trial ass administration esa decision aid improve patient understand risk benefit esa use compare control patient receive standard care participant either ckd esrd receive esas eligible participation primary outcome patient score patient anemia knowledge kidney disease pakkd survey assess enrollment month secondary outcome include decisional conflict relate esas patient satisfaction provider communication discussion anemia risk communication patient kidney disease arckd study ass effectiveness novel esa decision aid improve patient understand esa use manage ckdand esrdrelated anemia decision aid first resource target improve patient understand anemia management kidney health context increase option available anemia management serve important foundation evolve future optimize anemiarelated share decision making,173.txt,100,42,1,18
detection single aminoacid variant savs usually depend singlenucleotide polymorphism snps database describe novel method discovers savs proteome level independent snp data use mass spectrometrybased de novo sequence algorithm peptidecandidates identify compare theoretical protein database generate savs pair strategy follow database research control false discovery rate human brain tissue confidently identify know novel protein variant diverse origin combine dnarna sequence verify savs derive dna mutation rna alternative splice unknown posttranscriptional mechanism furthermore quantitative analysis human brain tissue reveals several tissuespecific differential expression savs approach provide novel access highthroughput detection protein variant may offer potential clinical biomarker discovery mechanistic research,198.txt,33,29,0,3
number computer vision problem facial age estimation crowd count pose estimation solve learning regression map lowlevel imagery feature show visual regression substantially improve twostage regression imagery feature first map attribute space explicitly model latent correlation across continuouslychanging output propose approach automatically discover spectral attribute avoids manual work require define handcraft attribute representation visual attribute regression outperforms direct visual regression spectral attribute visual regression achieves stateoftheart accuracy multiple application,013.txt,24,14,0,1
accurately reliably track undulatory motion deformable fish body great significance scientific research also practical application robot design computer graphic however remain challenge task due severe body deformation erratic motion frequent occlusion paper propose track method capable track midline multiple fish base midline evolution head motion pattern model long shortterm memory lstm network midline head motion state predict use two lstm network respectively predict state associate detection estimate state target moment experiment result show system accurately track midline dynamic multiple zebrafish even mutual occlusion occur frequently,007.txt,42,10,0,2
dioscorea zingiberensis main plant source diosgenin precursor production steroid hormone use pharmaceutical industry extraction process diosgenin zingiberensis generate highacid highstrength wastewater large scale threaten environment bioengineering microorganism produce diosgenin effective way avoid pollution however little known gene involve biosynthesis diosgenin obtain unigenes average length base zingiberensis transcriptome rnaseq large number unigenes annotate unigenes assign secondarymetabolite pathway database unigenes encode key enzyme find present diosgenin biosynthesis pathway addition find unigenes encode cyp protein unigenes encode ugt protein may involve modification downstream pathway expression pattern key diosgenin biosynthesis gene study identify important member enzyme family result add available genetic data zingiberensis lay foundation production diosgenin use genetic engineering,205.txt,69,31,7,6
michelia yunnanensis franch traditional ornamental aromatic medicinal shrub endemic yunnan province southwest china although specie large distribution pattern abundant yunnan province population dramatically decline overexploitation habitat destruction study genetic variation demography endemic specie necessary develop effective conservation management strategy generate knowledge use pair universal cpdna marker pair microsatellite marker assess genetic diversity genetic structure demographic history yunnanensis population calculate total allele polymorphic loci haplotype combine bp cpdna yunnanensis population show high genetic diversity ho nuclear marker hd cpdna marker low genetic differentiation fst geographical structure find among yunnanensis population genetic distance geographic distance correlate p indicated geographic isolation primary cause low genetic differentiation yunnanensis additionally yunnanensis population contract similar year ago recent expansion occur current population result indicate high genetic diversity specie within population hold promise effective genetic resource management sustainable utilization thus suggest conservation management yunnanensis address exotic overexploitation habitat destruction,208.txt,76,48,6,8
basic question computational geometry find relationship set point line real plane paper present multidimensional data structure n point allow answer follow query give input line estimate log n time number point line return log n k time k n point line return log n time point close line illustrate utility computational question gi application air defense traffic control,022.txt,43,22,0,10
lowpower analog signal processing ic present lowpower heart rhythm analysis asic feature identical independent intraecg readout channel equip analog qrs feature extractor lowpower consumption fast diagnosis fatal case level digitize sinewave synthesizer together synchronous readout circuit measure bioimpedance range k omega omegarms resolution high accuracy propose mm asic consumes mu v highly integrated solution offer functionality acquire multiple high quality intracardiac signal require limited number external passive,036.txt,31,24,4,8
massspectrometrybased proteomics continue make major contribution discovery fundamental biological process recently also develop assay platform capable measure hundred thousand proteins biological system field progress amazing rate past five year term technology well breadth depth application area life science technical approach experimental stage back consider gold standard today community learn come grip volume complexity data generate revolution dnarna sequence technology extend reach proteomic research practically species notion mass spectrometry potential eventually retire western blot longer realm science fiction review focus major technical conceptual development since illustrate important recent application,195.txt,74,13,1,1
critical barrier successful prevention treatment recurrent prostate cancer detection eradication metastatic therapyresistant disease despite fall diagnosis mortality report incidence metastatic disease increase since prostate cancer arise cohesive group intraepithelial neoplasia migrates muscle leaf gland via perineural invasion hematogenous dissemination current technological advance show cohesiveclusters tumor also know microemboli within circulation circulate tumor cell ctc profile indicative disseminate prostate cancer disseminate tumor cell dtc find cohesiveclusters phenotypic characteristic radiation drugresistant tumor recent report cell biology informatics couple mass spectrometry indicate integrin adhesome network provide explanation biophysical ability cohesiveclusters tumor cell invade thorough muscle nerve microenvironments maintain adhesiondependent therapeutic resistance target cohesiveclusters take advantage know ability extracellular matrix ecm adhesion promote tumor cell survival represent approach potential avoid progression drug radiotherapyresistance follow review examine evidence development dissemination cohesiveclusters metastatic prostate cancer c publish elsevier bv,181.txt,68,38,1,6
